"DISTRICT_ID","GEO_ID","PROVINCE_ID","SUB_DISTRICT_CODE","SUB_DISTRICT_ID","SUB_DISTRICT_NAME"
464,3,31,"430505",4164,"*รัตนวาปี"
464,3,31,"430506",4165,"ทุ่งหลวง"
464,3,31,"430507",4166,"เหล่าต่างคำ"
464,3,31,"430508",4167,"นาหนัง"
464,3,31,"430509",4168,"เซิม"
464,3,31,"430510",4169,"*หนองหลวง"
464,3,31,"430511",4170,"*โพนแพง"
464,3,31,"430512",4171,"*เฝ้าไร่"
464,3,31,"430513",4172,"บ้านโพธิ์"
464,3,31,"430514",4173,"*นาทับไฮ"
464,3,31,"430515",4174,"*วังหลวง"
464,3,31,"430516",4175,"*พระบาทนาสิงห์"
464,3,31,"430517",4176,"*อุดมพร"
464,3,31,"430518",4177,"*นาดี"
464,3,31,"430520",4178,"*บ้านต้อน"
464,3,31,"430521",4179,"บ้านผือ"
464,3,31,"430522",4180,"สร้างนางขาว"
465,3,97,"430601",4181,"โซ่"
465,3,97,"430602",4182,"หนองพันทา"
465,3,97,"430603",4183,"ศรีชมภู"
465,3,97,"430604",4184,"คำแก้ว"
465,3,97,"430605",4185,"บัวตูม"
465,3,97,"430606",4186,"ถ้ำเจริญ"
465,3,97,"430607",4187,"เหล่าทอง"
466,3,31,"430701",4188,"พานพร้าว"
466,3,31,"430702",4189,"โพธิ์ตาก*"
466,3,31,"430703",4190,"บ้านหม้อ"
466,3,31,"430704",4191,"พระพุทธบาท"
466,3,31,"430705",4192,"หนองปลาปาก"
466,3,31,"430706",4193,"โพนทอง*"
466,3,31,"430707",4194,"ด่านศรีสุข*"
467,3,31,"430801",4195,"แก้งไก่"
467,3,31,"430802",4196,"ผาตั้ง"
467,3,31,"430803",4197,"บ้านม่วง"
467,3,31,"430804",4198,"นางิ้ว"
467,3,31,"430805",4199,"สังคม"
468,3,97,"430901",4200,"เซกา"
468,3,97,"430902",4201,"ซาง"
468,3,97,"430903",4202,"ท่ากกแดง"
468,3,97,"430904",4203,"*โพธิ์หมากแข้ง"
468,3,97,"430905",4204,"*ดงบัง"
468,3,97,"430906",4205,"บ้านต้อง"
468,3,97,"430907",4206,"ป่งไฮ"
468,3,97,"430908",4207,"น้ำจั้น"
468,3,97,"430909",4208,"ท่าสะอาด"
468,3,97,"430910",4209,"*บึงโขงหลง"
468,3,97,"430911",4210,"*ท่าดอกคำ"
468,3,97,"430912",4211,"หนองทุ่ม"
468,3,97,"430913",4212,"โสกก่าม"
469,3,97,"431001",4213,"ปากคาด"
469,3,97,"431002",4214,"หนองยอง"
469,3,97,"431003",4215,"นากั้ง"
469,3,97,"431004",4216,"โนนศิลา"
469,3,97,"431005",4217,"สมสนุก"
469,3,97,"431006",4218,"นาดง"
470,3,97,"431101",4219,"บึงโขงหลง"
470,3,97,"431102",4220,"โพธิ์หมากแข้ง"
470,3,97,"431103",4221,"ดงบัง"
470,3,97,"431104",4222,"ท่าดอกคำ"
471,3,97,"431201",4223,"ศรีวิไล"
471,3,97,"431202",4224,"ชุมภูพร"
471,3,97,"431203",4225,"นาแสง"
471,3,97,"431204",4226,"นาสะแบง"
471,3,97,"431205",4227,"นาสิงห์"
472,3,97,"431301",4228,"บุ่งคล้า"
472,3,97,"431302",4229,"หนองเดิ่น"
472,3,97,"431303",4230,"โคกกว้าง"
473,3,31,"431401",4231,"สระใคร"
473,3,31,"431402",4232,"คอกช้าง"
473,3,31,"431403",4233,"บ้านฝาง"
474,3,31,"431501",4234,"เฝ้าไร่"
474,3,31,"431502",4235,"นาดี"
474,3,31,"431503",4236,"หนองหลวง"
474,3,31,"431504",4237,"วังหลวง"
474,3,31,"431505",4238,"อุดมพร"
475,3,31,"431601",4239,"รัตนวาปี"
475,3,31,"431602",4240,"นาทับไฮ"
475,3,31,"431603",4241,"บ้านต้อน"
475,3,31,"431604",4242,"พระบาทนาสิงห์"
475,3,31,"431605",4243,"โพนแพง"
476,3,31,"431701",4244,"โพธิ์ตาก"
476,3,31,"431702",4245,"โพนทอง"
476,3,31,"431703",4246,"ด่านศรีสุข"
477,3,32,"440101",4247,"ตลาด"
477,3,32,"440102",4248,"เขวา"
477,3,32,"440103",4249,"ท่าตูม"
477,3,32,"440104",4250,"แวงน่าง"
477,3,32,"440105",4251,"โคกก่อ"
477,3,32,"440106",4252,"ดอนหว่าน"
477,3,32,"440107",4253,"เกิ้ง"
477,3,32,"440108",4254,"แก่งเลิงจาน"
477,3,32,"440109",4255,"ท่าสองคอน"
477,3,32,"440110",4256,"ลาดพัฒนา"
